Gene_name	medUPratio	meanrpkm	rpkm_bin
CCZ1B	0.00081	3.0188369695362	Q4
CD109	0.0073	0.176363425456592	Q1 - lowly expressed
CD180	0.02151	0.242964245115541	Q2
CD19	0.00615	28.5271275098419	Q5 - highly expressed
CD200	0.04878	0.521141928644792	Q2
CD22	0.00756	10.4320217896137	Q5 - highly expressed
CD226	0.02928	0.36741610505574	Q2
CD244	0.00899	0.321920753351717	Q2
CD27	0.01092	18.6368795922505	Q5 - highly expressed
CD274	0.03053	0.991329668724932	Q3
CD2AP	0.00329	0.465808374398213	Q2
CD2BP2	0.00117	12.4195931917648	Q5 - highly expressed
CD300A	0.00243	5.11551889716557	Q5 - highly expressed
CD320	0.00704	3.61194466914222	Q4
CD38	0.00525	0.484865976304378	Q2
CD40	0.00343	20.898306855797	Q5 - highly expressed
CD44	0.00104	2.63245429505525	Q4
CD47	0.02392	2.74765827363621	Q4
CD48	0.00756	11.6864635464458	Q5 - highly expressed
CD52	0.00478	45.9884572983152	Q5 - highly expressed
CD53	0.01072	17.0766425844977	Q5 - highly expressed
CD70	0.02876	4.43963094195408	Q5 - highly expressed
CD72	0.05405	0.343440368710434	Q2
CD74	3e-05	349.244077745928	Q5 - highly expressed
CD79A	0.00016	106.032235059727	Q5 - highly expressed
CD80	0.00592	1.19855017526508	Q3
CD81	0.00021	10.1526957456888	Q5 - highly expressed
CD82	0.00051	5.65323123896609	Q5 - highly expressed
CD83	0.02687	1.66883083085957	Q4
CD86	0.0045	0.71816944445419	Q3
CDADC1	0.09459	0.124887910806961	Q1 - lowly expressed
CDAN1	0.01176	1.58164003433761	Q4
CDC123	0.00136	4.98454884474362	Q5 - highly expressed
CDC16	0.01101	2.88595437673364	Q4
CDC25B	0.01256	3.43936321021961	Q4
CDC25C	0.00518	0.427361813749518	Q2
CDC26	0.01029	1.2900815572846	Q3
CDC27	0.00901	1.56879435787923	Q4
CDC34	0.00923	2.44703271825327	Q4
CDC37	0.00086	7.80345537605807	Q5 - highly expressed
CDC40	0.00142	0.60210541681192	Q2
CDC42BPB	0.00311	0.298108491801403	Q2
CDC42SE1	0.01549	2.78139620282129	Q4
